City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,sinnamary,5.3833,-52.95,28.33,73,34,4.94,GF,1682881734
84,avera,33.194,-82.5271,22.83,52,89,8.46,US,1682881734
85,mar del plata,-38.0023,-57.5575,16.72,77,100,2.68,AR,1682881735
86,pasighat,28.0667,95.3333,21.5,71,100,1.93,IN,1682881735
87,campina verde,-19.5356,-49.4864,27.88,49,0,2.02,BR,1682881735
88,georgetown,5.4112,100.3354,25.97,94,20,0.51,MY,1682881556
89,penzance,50.1186,-5.5371,12.38,91,0,4.88,GB,1682881735
90,zeya,53.75,127.2667,2.72,59,99,1.15,RU,1682881735
91,tambura,5.6,27.4667,21.06,89,100,1.29,SS,1682881735
92,katsuura,35.1333,140.3,16.4,74,100,6.88,JP,1682881735
93,saint-philippe,-21.3585,55.7679,23.77,78,40,2.36,RE,1682881736
94,shenjiamen,29.9576,122.298,15.01,72,0,4.04,CN,1682881736
95,talnakh,69.4865,88.3972,-6.55,90,9,5.71,RU,1682881736
96,chuy,-33.6971,-53.4616,28.07,41,100,5.45,UY,1682881736
97,rawson,-43.3002,-65.1023,14.18,34,10,5.33,AR,1682881736
98,namibe,-15.1961,12.1522,24.55,84,88,4.21,AO,1682881737
99,oranjestad,12.524,-70.027,31.97,66,20,10.29,AW,1682881737
100,fortuna,40.5982,-124.1573,12.77,68,100,2.28,US,1682881441
101,ulladulla,-35.35,150.4667,11.54,89,78,2.13,AU,1682881737
102,atuona,-9.8,-139.0333,27.49,72,25,8.21,PF,1682881737
103,clyde river,70.4692,-68.5914,-0.29,85,100,0.9,CA,1682881737
104,takoradi,4.8845,-1.7554,27.16,77,45,2.35,GH,1682881738
105,mareeba,-17.0,145.4333,21.4,94,100,0.88,AU,1682881738
106,mana,5.6592,-53.7767,28.41,72,68,4.75,GF,1682881738
107,olafsvik,64.8945,-23.7142,2.76,51,33,6.56,IS,1682881738
108,castro,-24.7911,-50.0119,22.33,57,28,0.67,BR,1682881738
109,marzuq,14.4,46.4667,25.87,56,93,2.37,YE,1682881739
110,new norfolk,-42.7826,147.0587,8.73,77,62,1.1,AU,1682881739
111,kodiak,57.79,-152.4072,4.73,87,100,9.26,US,1682881739
112,lebu,-37.6167,-73.65,12.75,67,31,4.13,CL,1682881739
113,summerville,33.0185,-80.1757,23.83,70,75,11.32,US,1682881739
114,tazovskiy,67.4667,78.7,-6.36,92,11,6.76,RU,1682881740
115,nikolskoye,59.7035,30.7861,4.95,92,17,1.61,RU,1682881740
116,port elizabeth,-33.918,25.5701,17.4,88,9,1.79,ZA,1682881740
117,bubaque,11.2833,-15.8333,25.16,81,4,6.4,GW,1682881740
118,altay,47.8667,88.1167,6.37,46,7,4.67,CN,1682881740
119,honavar,14.2833,74.45,26.28,75,100,1.54,IN,1682881740
120,airai,-8.9266,125.4092,13.25,81,6,0.9,TL,1682881741
121,san patricio,28.017,-97.5169,30.65,30,0,1.87,US,1682881741
122,khatanga,71.9667,102.5,-19.36,100,95,1.58,RU,1682881741
123,johnstown,40.3267,-78.922,14.69,97,100,1.54,US,1682881700
124,sao filipe,14.8961,-24.4956,27.97,48,93,6.18,CV,1682881741
125,churapcha,62.0025,132.4325,0.25,97,100,3.26,RU,1682881741
126,tabas,33.5959,56.9244,27.98,18,16,2.3,IR,1682881742
127,port hardy,50.6996,-127.4199,9.44,96,100,2.9,CA,1682881742
128,seryshevo,51.0933,128.3786,5.07,47,5,1.83,RU,1682881742
129,hangal,14.7667,75.1333,23.6,76,66,3.16,IN,1682881743
130,belmonte,-15.8631,-38.8828,26.81,76,6,2.93,BR,1682881743
131,brewster,41.3973,-73.6171,13.84,96,100,5.14,US,1682881743
132,port-gentil,-0.7193,8.7815,27.98,78,20,2.57,GA,1682881743
133,chumikan,54.7183,135.315,-7.33,97,99,0.34,RU,1682881744
134,celestun,20.8667,-90.4,26.24,52,5,4.85,MX,1682881744
135,tiznit,29.5833,-9.5,23.95,41,0,2.32,MA,1682881744
136,piacabucu,-10.4056,-36.4344,27.5,75,87,4.19,BR,1682881745
137,epe,6.5841,3.9834,26.07,87,84,2.38,NG,1682881745
